embedding,model,accuracy,macro_f1,seed
tfidf,nb,0.32275132275132273,0.22913571484159725,42
tfidf,logreg,0.35978835978835977,0.33355374158005735,42
tfidf,logreg,0.4656084656084656,0.4490862757186286,42
tfidf,logreg,0.35978835978835977,0.31956370426958663,42
tfidf,logreg,0.42328042328042326,0.394037904310471,42
word2vec,rf,0.07936507936507936,0.09497534184605123,42
tfidf,nb,0.2962962962962963,0.2629395332336509,42
bow,logreg,0.2751322751322751,0.2545379067421065,42
tfidf,logreg,0.83,0.8294261897021581,42
glove,logreg,0.8847962382445141,0.8849609645912658,42
glove,logreg,0.8730407523510971,0.8720141308040632,1337
glove,logreg,0.8989028213166145,0.8967770906992261,2024
glove,logreg,0.8753918495297806,0.8758655566107807,42
glove,logreg,0.8769592476489029,0.878283019975133,1337
glove,logreg,0.8785266457680251,0.8771331769874346,2024
tfidf,nb,0.23809523809523808,0.17510198619820422,42
tfidf,logreg,0.35978835978835977,0.32307804441860166,42
tfidf,nb,0.23809523809523808,0.17510198619820422,42
tfidf,rf,0.4444444444444444,0.40856360520452545,42
tfidf,logreg,0.35978835978835977,0.32307804441860166,42
tfidf,mlp,0.47619047619047616,0.4492483891382399,42
tfidf,nb,0.23809523809523808,0.17510198619820422,42
tfidf,rf,0.4444444444444444,0.40856360520452545,42
tfidf,logreg,0.35978835978835977,0.32307804441860166,42
tfidf,mlp,0.47619047619047616,0.4492483891382399,42
tfidf,logreg,0.35978835978835977,0.32307804441860166,42
tfidf,logreg,0.41798941798941797,0.38055699678861443,1337
tfidf,nb,0.41798941798941797,0.3752816633108395,42
tfidf,nb,0.8769592476489029,0.8766733182465456,42
tfidf,logreg,0.868,0.8678964308017485,42
word2vec,logreg,0.06878306878306878,0.0245954535660418,42
glove,logreg,0.3862433862433862,0.33980862121794714,42
